gene,description
hsa-miR-221-5p,"Subsequent investigations revealed that TIMP2 is a direct target of miR-221/222, and overexpression of TIMP2 reduced the miR-221/222-mediated invasion, metastasis, and angiogenesis of glioma cells."
hsa-miR-221-3p,Study demonstrated that miR-221 facilitated TGFbeta1-induced epithelial-mesenchymal transition in human bladder cancer cells by targeting STMN1 and represented a promising therapeutic target in the process of metastasis.
hsa-miR-221-5p,Study demonstrated that miR-221 facilitated TGFbeta1-induced epithelial-mesenchymal transition in human bladder cancer cells by targeting STMN1 and represented a promising therapeutic target in the process of metastasis.
hsa-miR-222-3p,"Subsequent investigations revealed that TIMP2 is a direct target of miR-221/222, and overexpression of TIMP2 reduced the miR-221/222-mediated invasion, metastasis, and angiogenesis of glioma cells."
hsa-miR-222-5p,"Subsequent investigations revealed that TIMP2 is a direct target of miR-221/222, and overexpression of TIMP2 reduced the miR-221/222-mediated invasion, metastasis, and angiogenesis of glioma cells."
hsa-miR-223-3p,"These results reveal that ARTN, a known tumor metastasis-related gene, is a direct target of miR-223."
hsa-miR-223-5p,"These results reveal that ARTN, a known tumor metastasis-related gene, is a direct target of miR-223."
hsa-miR-223-3p,Downregulation of miR-223-5p is correlated with the presence of lymph node metastasis in vulvar carcinoma.
hsa-miR-223-5p,Downregulation of miR-223-5p is correlated with the presence of lymph node metastasis in vulvar carcinoma.
hsa-miR-223-3p,Downregulation of miR-223 in hepatocelullar carcinoma is associated with the epigenetic regulation by highly expressed sulfatide and involved in tumor metastasis.
hsa-miR-223-5p,Downregulation of miR-223 in hepatocelullar carcinoma is associated with the epigenetic regulation by highly expressed sulfatide and involved in tumor metastasis.
hsa-miR-224-3p,"Taken together,these data indicate that miR-224 play an important role in metastasis of human breast cancer cells to the bone by directly suppressing the RKIP tumor suppressor."
hsa-miR-224-5p,"Taken together,these data indicate that miR-224 play an important role in metastasis of human breast cancer cells to the bone by directly suppressing the RKIP tumor suppressor."
hsa-miR-224-3p,"In metastatic colorectal cancer cells, reduced levels of miR-221* and miR-224 increase levels of MBD2, thereby decreasing expression of the metastasis suppressor maspin."
hsa-miR-224-5p,"In metastatic colorectal cancer cells, reduced levels of miR-221* and miR-224 increase levels of MBD2, thereby decreasing expression of the metastasis suppressor maspin."
hsa-miR-224-3p,Data identify the metastasis suppressor TXNIP as new target of miR-224/miR-452 that induces feedback inhibition of E2F1 and show that miR-224/452-mediated downregulation of TXNIP is essential for E2F1-induced EMT and invasion
hsa-miR-224-5p,Data identify the metastasis suppressor TXNIP as new target of miR-224/miR-452 that induces feedback inhibition of E2F1 and show that miR-224/452-mediated downregulation of TXNIP is essential for E2F1-induced EMT and invasion
hsa-miR-224-3p,"microRNA-224 (miR-224) is significantly up-regulated in nonsmall cell lung cancer (NSCLC) tissues, particularly in resected NSCLC metastasis."
hsa-miR-224-5p,"microRNA-224 (miR-224) is significantly up-regulated in nonsmall cell lung cancer (NSCLC) tissues, particularly in resected NSCLC metastasis."
hsa-miR-23a-3p,"MiR-23a expression promotes colon carcinoma cell growth, invasion and metastasis through inhibition of the MTSS1 gene."
hsa-miR-23a-5p,"MiR-23a expression promotes colon carcinoma cell growth, invasion and metastasis through inhibition of the MTSS1 gene."
hsa-miR-23a-3p,miR-23a regulated cytoskeleton by affecting LIMK1 and cofilin. Authors have identified the miR-23a-PAK6-LIMK1 pathway of prostate cancer metastasis.
hsa-miR-23a-5p,miR-23a regulated cytoskeleton by affecting LIMK1 and cofilin. Authors have identified the miR-23a-PAK6-LIMK1 pathway of prostate cancer metastasis.
hsa-miR-23b-3p,"MiR-23b, which is downregulated in human colon cancer samples, potently mediates the multiple steps of metastasis, including tumour growth, invasion and angiogenesis in vivo."
hsa-miR-23b-5p,"MiR-23b, which is downregulated in human colon cancer samples, potently mediates the multiple steps of metastasis, including tumour growth, invasion and angiogenesis in vivo."
hsa-miR-23b-3p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-23b-5p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-24-1-5p,these results suggest that miR-24 plays a key role in breast cancer invasion and metastasis. miR-24 could potentially be a target for cancer intervention.
hsa-miR-24-1-5p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-24-2-5p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-24-3p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-26a-1-3p,"Our study demonstrated that miR-26a enhanced lung cancer cell metastasis potential via modulation of metastasis-related gene expression, and activation of AKT pathway by PTEN suppression"
hsa-miR-26a-1-3p,Downregulation of miR-26a is associated with tumor aggressiveness and tumor metastasis in osteosarcoma.
hsa-miR-26a-1-3p,"In conclusion, this study revealed that miR-26b suppresses NSCLC metastasis by targeting MIEN1 via NF-kappaB/MMP-9/VEGF pathways, implicating a potential prognostic biomarker and therapeutic target for NSCLC treatment."
hsa-miR-26b-3p,"Our data indicated that downregulation of miR-26b in osteosarcoma elevated the levels of CTGF and Smad1, facilitating osteosarcoma metastasis"
hsa-miR-26b-5p,"Our data indicated that downregulation of miR-26b in osteosarcoma elevated the levels of CTGF and Smad1, facilitating osteosarcoma metastasis"
hsa-miR-27a-3p,miR-27 has a role in regulating metastasis of gastric cancer.
hsa-miR-27a-5p,miR-27 has a role in regulating metastasis of gastric cancer.
hsa-miR-27a-3p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-27a-5p,"findings support a lung metastasis-promoting function of the miR-23b/27b/24 cluster of miRNAs, which functions in part through the direct inhibition of PSAP in breast cancer"
hsa-miR-2861,"Investigated miRNA deregulation in papillary thyroid carcinoma, particularly with lymph node (LN) metastasis. Expression of either miR-2861 or miR-451 in the LN group was significantly greater than that in the NLN group."
hsa-miR-29c-3p,The miR-29c/TIAM1 pathway further elucidates the molecular mechanisms regulating invasion and metastasis in nasopharyngeal carcinoma.
hsa-miR-29c-5p,The miR-29c/TIAM1 pathway further elucidates the molecular mechanisms regulating invasion and metastasis in nasopharyngeal carcinoma.
hsa-miR-29c-3p,"miR-29c serves as a tumor metastasis suppressor, which suppresses lung cancer cell adhesion to ECM and metastasis by directly inhibiting integrin beta1 and MMP2 expression"
hsa-miR-29c-5p,"miR-29c serves as a tumor metastasis suppressor, which suppresses lung cancer cell adhesion to ECM and metastasis by directly inhibiting integrin beta1 and MMP2 expression"
hsa-miR-29c-3p,miR-29c may serve as a novel marker of pancreatic cancer metastasis and possibly as a therapeutic target to treat pancreatic cancer liver metastasis.
hsa-miR-29c-5p,miR-29c may serve as a novel marker of pancreatic cancer metastasis and possibly as a therapeutic target to treat pancreatic cancer liver metastasis.
hsa-miR-29c-3p,The de-regulation of both of miR-29b/c and DNMT3A leads to the epigenetic silencing of CDH1 and contributes to the metastasis phenotype in gastric cancer.
hsa-miR-29c-5p,The de-regulation of both of miR-29b/c and DNMT3A leads to the epigenetic silencing of CDH1 and contributes to the metastasis phenotype in gastric cancer.
hsa-miR-29c-3p,"By simulating the tumor microenvironment, the MV-delivered miR-29a/c significantly suppresses VEGF expression in gastric cancer cells, inhibiting vascular cell growth, metastasis, and tube formation."
hsa-miR-29c-5p,"By simulating the tumor microenvironment, the MV-delivered miR-29a/c significantly suppresses VEGF expression in gastric cancer cells, inhibiting vascular cell growth, metastasis, and tube formation."
hsa-miR-300,miR-300 inhibits epithelial to mesenchymal transition and metastasis by targeting Twist in human epithelial cancer.
hsa-miR-301a-3p,Upregulated microRNA-301a in breast cancer promotes tumor metastasis by targeting PTEN and activating Wnt/beta-catenin signaling.
hsa-miR-301a-5p,Upregulated microRNA-301a in breast cancer promotes tumor metastasis by targeting PTEN and activating Wnt/beta-catenin signaling.
hsa-miR-302a-3p,miR-302a inhibited the invasion and metastasis of breast cancer cells in vitro and in vivo and reduced the expression of CXCR4.
hsa-miR-302a-5p,miR-302a inhibited the invasion and metastasis of breast cancer cells in vitro and in vivo and reduced the expression of CXCR4.
hsa-miR-302a-3p,"In healthy tissues, the MIR302(high)/MIR203(low) asymmetry was characteristic of embryonic and induced pluripotency. In invasive ductal carcinoma, the MIR302/MIR203 asymmetry was associated with stem cell markers, metastasis, and shorter survival."
hsa-miR-302a-5p,"In healthy tissues, the MIR302(high)/MIR203(low) asymmetry was characteristic of embryonic and induced pluripotency. In invasive ductal carcinoma, the MIR302/MIR203 asymmetry was associated with stem cell markers, metastasis, and shorter survival."
hsa-miR-30a-3p,"These results suggest that miR-30a targets Snai1, inhibits invasion and metastasis, and is downregulated in NSCLC."
hsa-miR-30a-5p,"These results suggest that miR-30a targets Snai1, inhibits invasion and metastasis, and is downregulated in NSCLC."
hsa-miR-30a-3p,Overexpression of miR-30a suppressed CRC cell migration and invasion in vitro and liver metastasis in vivo.
hsa-miR-30a-5p,Overexpression of miR-30a suppressed CRC cell migration and invasion in vitro and liver metastasis in vivo.
hsa-miR-30a-3p,Loss of MicroRNA-30a is associated with breast tumor growth and metastasis.
hsa-miR-30a-5p,Loss of MicroRNA-30a is associated with breast tumor growth and metastasis.
hsa-miR-30a-3p,Decreased MIRN30A expression is associated with metastasis in clear cell renal cell carcinoma.
